Authorization Date,Record ID,Store Name,Store Type,Street Number,City,State,Zip Code,Zip4,County,Latitude,Longitude,End Date
2010-03-25,944101,CVS Pharmacy 1332,Combination Grocery/Other,2550,Washington,DC,20037,1904,DIST OF COLUMBIA,38.89938,-77.05454, 
2010-03-25,944754,CVS Pharmacy 2208,Combination Grocery/Other,2000,Washington,DC,20036, ,DIST OF COLUMBIA,38.90373,-77.04578,06/22/2017
2010-03-25,944747,CVS Pharmacy 2104,Combination Grocery/Other,5013,Washington,DC,20008,2024,DIST OF COLUMBIA,38.95512,-77.06982, 
2010-03-25,944103,CVS Pharmacy 1337,Combination Grocery/Other,1403,Washington,DC,20007,2828,DIST OF COLUMBIA,38.90852,-77.06387, 
2010-03-26,945273,CVS Pharmacy 6069,Combination Grocery/Other,1101,Washington,DC,20036, ,DIST OF COLUMBIA,38.90386,-77.04003, 
2010-03-26,945279,CVS Pharmacy 6419,Combination Grocery/Other,1000,Washington,DC,20001, ,DIST OF COLUMBIA,38.91698,-77.02631, 
2010-03-26,945276,CVS Pharmacy 6214,Combination Grocery/Other,5335,Washintgon,DC,20015, ,DIST OF COLUMBIA,38.9603,-77.08545, 
2010-03-26,945328,CVS Pharmacy 8359,Combination Grocery/Other,1201,Washington,DC,20024,2149,DIST OF COLUMBIA,38.8845,-77.02817,03/30/2021
2010-04-13,671108,SAFEWAY 2912,Supermarket,1855,Washington,DC,20007,2302,DIST OF COLUMBIA,38.91568,-77.0677, 
2010-04-19,943507,Sun Market  ,Convenience Store,415,Washington,DC,20002,1265,DIST OF COLUMBIA,38.91972,-77.00034,08/25/2016
2010-04-21,946350,Columbia Heights Community Marketplace  ,Farmers' Market, ,Washington,DC,20010,2801,DIST OF COLUMBIA,38.93029,-77.03273,09/20/2020
2010-05-04,947543,Divine Unity Food LLC  ,Combination Grocery/Other,300,Washington,DC,20002, ,DIST OF COLUMBIA,38.90956,-77.00016,04/12/2018
2010-05-25,954262,Walgreens 10311,Combination Grocery/Other,3524,Washington,DC,20008,2401,DIST OF COLUMBIA,38.9366,-77.05912, 
2010-05-25,948367,Fairmont Liquor and Grocery  ,Convenience Store,2633,Washington,DC,20001,3933,DIST OF COLUMBIA,38.92477,-77.02554,03/02/2015
2010-05-25,947351,Bilal Grocery And Carry Out  ,Convenience Store,4328,Washington,DC,20011,7122,DIST OF COLUMBIA,38.94392,-77.02606,01/26/2012
2010-06-04,929923,Upshur Mini Mart Laundromat  ,Convenience Store,223,Washington,DC,20011,4847,DIST OF COLUMBIA,38.94222,-77.01482,02/04/2014
2010-06-10,954338,Brightwood Market  ,Convenience Store,100,Washington,DC,20011,5213,DIST OF COLUMBIA,38.95654,-77.01181,09/04/2018
2010-06-14,948686,ANANYA MARKET  ,Medium Grocery Store,1545,Washington,DC,20001,2415,DIST OF COLUMBIA,38.91082,-77.01668,08/28/2013
2010-07-06,955908,MARTIN'S MARKET  ,Convenience Store,538,Washington,DC,20002,4921,DIST OF COLUMBIA,38.89717,-77.00207,12/09/2014
2010-07-06,954347,Anacostia Market 3  ,Convenience Store,1303,Washington,DC,20020,6909,DIST OF COLUMBIA,38.86706,-76.98698,02/14/2017
2010-07-08,957329,7-Eleven Inc F 33657,Convenience Store,3000,Washington,DC,20008, ,DIST OF COLUMBIA,38.9301,-77.05536,02/26/2019
2010-07-08,955989,7-Eleven Inc F 34293,Convenience Store,5210,Washington,DC,20011, ,DIST OF COLUMBIA,38.95425,-77.00206, 
2010-07-17,961584,CVS 2330,Combination Grocery/Other,110,Washington,DC,20012,2001,DIST OF COLUMBIA,38.97475,-77.01407, 
2010-07-20,957704,Greenway Market  ,Convenience Store,3542,Washington,DC,20019,1253,DIST OF COLUMBIA,38.88994,-76.95451,05/13/2012
2010-07-29,958081,Lamont Market  ,Convenience Store,450,Washington,DC,20010,2525,DIST OF COLUMBIA,38.93123,-77.01993, 
2010-07-29,957266,King Chevron  ,Convenience Store,3011,Washington,DC,20019, ,DIST OF COLUMBIA,38.84438,-76.99796,02/13/2018
2010-07-29,958876,77 Store  ,Convenience Store,3021,Washington,DC,20001,3807,DIST OF COLUMBIA,38.92879,-77.02316,08/10/2011
2010-08-03,964658,CVS 2787,Combination Grocery/Other,3642,Washington,DC,20010, ,DIST OF COLUMBIA,38.93536,-77.02418, 
2010-08-03,961114,Dollar Plus Food Store  ,Small Grocery Store,806,Washington,DC,20002,3629,DIST OF COLUMBIA,38.90023,-76.9945,03/18/2013
2010-08-03,960100,Dollar Plus Food Store  ,Small Grocery Store,2529,Washington,DC,20020,6713,DIST OF COLUMBIA,38.87313,-76.97008, 
2010-08-03,957220,Parkway Shell  ,Convenience Store,1765,Washington,DC,20002,1727,DIST OF COLUMBIA,38.91719,-76.97926,01/17/2012
2010-08-04,961874,Lees Mini Market  ,Convenience Store,3853,Washington,DC,20020,1001,DIST OF COLUMBIA,38.86629,-76.95039,11/22/2019
2010-08-11,963114,Rolands Of Capitol Hill  ,Medium Grocery Store,333,Washington,DC,20003,1148,DIST OF COLUMBIA,38.88647,-77.00092,03/02/2015
2010-08-11,961904,Brothers Liquors  ,Convenience Store,1140,Washington,DC,20002,7104,DIST OF COLUMBIA,38.90312,-76.99093,03/02/2015
2010-09-02,966057,7-Eleven Inc F 22668,Convenience Store,950,Washington,DC,20019,7048,DIST OF COLUMBIA,38.90365,-76.92321,02/27/2020
2010-09-02,966558,Petworth Community Market  ,Farmers' Market,4100,Washington,DC,20011, ,DIST OF COLUMBIA,38.94083,-77.02507,07/23/2015
2010-09-03,968214,7-Eleven Inc F 37287A,Convenience Store,721,Washington,DC,20002,3626,DIST OF COLUMBIA,38.90017,-76.99526,01/20/2014
2010-09-18,419148,Yes Organic Market 2,Supermarket,3425,Washington,DC,20008,1307,DIST OF COLUMBIA,38.93505,-77.05796, 
2010-09-20,915240,Yes Organic Market 3,Supermarket,658,Washington,DC,20003,4304,DIST OF COLUMBIA,38.88507,-76.99679,09/07/2011
2010-09-21,971685,CVS 2872,Combination Grocery/Other,1350,Washington,DC,20036, ,DIST OF COLUMBIA,38.90838,-77.0429,06/22/2017
2010-09-22,971807,Yes Organic Market 7,Supermarket,2323,Washington,DC,20020, ,DIST OF COLUMBIA,38.87404,-76.97224,05/18/2015
2010-09-22,968361,Penn-way Market  ,Convenience Store,3833,Washington,DC,20020,1309,DIST OF COLUMBIA,38.8658,-76.95195, 
2010-09-30,972414,Rodman's Discount Food & Drug  ,Large Grocery Store,5100,Washington,DC,20016,4119,DIST OF COLUMBIA,38.95638,-77.08386, 
2010-09-30,972620,Lincoln Market Deli  ,Small Grocery Store,1923,Washington,DC,20002,1332,DIST OF COLUMBIA,38.91622,-77.00746,05/09/2011
2010-10-06,970872,Benning Market  Place  ,Convenience Store,4400,Washington,DC,20019,4555,DIST OF COLUMBIA,38.89138,-76.9389,09/20/2016
2010-10-06,969161,Exxon Otr  ,Convenience Store,2150,Washington,DC,20037,1211,DIST OF COLUMBIA,38.9052,-77.04798,08/15/2013
2010-10-08,974633,Minnesota Ave Citgo  ,Convenience Store,3820,Washington,DC,20019,2659,DIST OF COLUMBIA,38.89246,-76.95119,09/06/2016
2010-10-25,975128,7-Eleven Inc F 28633,Convenience Store,25,Washington,DC,20011,2211,DIST OF COLUMBIA,38.96272,-77.01072, 
2010-10-25,975773,Potomac Seafood  ,Seafood Specialty,3730,Washington,DC,20019,2667,DIST OF COLUMBIA,38.89099,-76.95225,07/24/2013
2010-11-01,740173,LIFF'S MARKET  ,Convenience Store,600,Washington,DC,20032,4103,DIST OF COLUMBIA,38.8432,-76.99758,04/22/2012
2010-11-03,978266,Harris Teeter 352,Super Store,1201,Washington,DC,20002,4274,DIST OF COLUMBIA,38.90564,-77.0058, 
2010-11-10,977855,Lowest Price Gas Station  ,Convenience Store,1301,Washington,DC,20002,1801,DIST OF COLUMBIA,38.90766,-76.97843,05/21/2014
2010-11-17,917478,Geralds Gift Shop  ,Convenience Store,1310,Washington,DC,20032,4692,DIST OF COLUMBIA,38.83421,-76.98476,12/09/2014
2010-11-19,980445,Sonyas Market  ,Convenience Store,2833,Washington,DC,20001,3901,DIST OF COLUMBIA,38.92666,-77.02696,03/25/2015
2010-11-26,979910,Darby's Market  ,Small Grocery Store,1136,Washington,DC,20002, ,DIST OF COLUMBIA,38.90285,-76.99042,07/24/2013
2010-12-01,979946,Sunbeam Market  ,Convenience Store,2324,Washington,DC,20002,1106,DIST OF COLUMBIA,38.92115,-77.00912,10/19/2021
2010-12-01,981124,J and F Grocery Store  ,Convenience Store,1245,Washington,DC,20001,4876,DIST OF COLUMBIA,38.9071,-77.01888,07/14/2015
2010-12-01,981237,Howard Mini Store 426,Convenience Store,2626,Washington,DC,20001,3852,DIST OF COLUMBIA,38.92498,-77.02267,03/30/2021
2010-12-07,980014,David's Farm  ,Super Store,350,Washington,DC,20002, ,DIST OF COLUMBIA,38.90921,-77.00046,03/12/2014
2010-12-17,982857,Ram Grocery Store  ,Medium Grocery Store,3509,Washington,DC,20032,4140,DIST OF COLUMBIA,38.83976,-76.99367,10/07/2012
